1,cabbage,2000,"1,820","4,310","4,310","78,261","78,261","4,431","4,431"
2,cabbage,2001,"1,891","4,324","4,324","84,835","84,835","4,692","4,692"
3,cabbage,2002,"1,512","4,509","4,509","66,232","66,232","2,980","2,980"
4,cabbage,2003,"1,901","4,446","4,446","81,413","81,413","5,765","5,765"
5,cabbage,2004,"1,642","4,422","4,422","77,331","77,331","3,953","3,953"
6,cabbage,2005,"1,447","4,361","4,361","66,698","66,698","3,182","3,182"
7,cabbage,2006,"1,485","4,349","4,349","71,489","71,489","4,758","4,758"
8,cabbage,2007,"1,200","4,389","4,389","58,799","58,799","3,887","3,887"
9,cabbage,2008,"1,219","4,386","4,386","58,072","58,072","3,298","3,298"
10,cabbage,2009,"1,058","4,516","4,516","50,448","50,448","6,119","6,119"
11,cabbage,2010,"1,016","4,072","4,072","45,221","45,221","8,021","8,021"
12,cabbage,2011,"1,155","4,286","4,286","51,943","51,943","7,357","7,357"
13,cabbage,2012,826,"4,031","4,031","35,295","35,295","3,147","3,147"
14,cabbage,2013,884,"4,632","4,632","39,570","39,570","5,950","5,950"
15,cabbage,2014,629,"4,079","4,079","26,970","26,970","5,611","5,611"
16,cabbage,2015,567,"3,985","3,985","21,650","21,650","6,641","6,641"
17,cabbage,2016,517,"4,346","4,346","20,099","20,099","7,651","7,651"
18,cabbage,2017,749,"4,516","4,516","35,903","35,903","5,417","5,417"
19,cabbage,2018,712,"4,575","5,013","34,839","35,671","5,543",null
